@relation traind

@attribute MEAN numeric
@attribute MAXF numeric
@attribute MINF numeric
@attribute RANGEF numeric
@attribute KURT numeric
@attribute SKEW numeric
@attribute F_Label {0,1,2,3,4,5,6,7,8}

@data
5.309716,5.415726,5.078888,0.336838,0.289864,-0.064591,0
1.276188,1.433563,0.912094,0.521469,3.806434,0.88497,0
1.656647,1.791382,1.344681,0.446701,2.163871,0.72015,0
1.656468,1.791382,1.344681,0.446701,2.057759,0.693719,0
0.786517,0.933075,0.507355,0.42572,4.561315,1.120409,0
0.881363,1.031494,0.615311,0.416183,2.129765,0.569155,0
1.035998,1.470184,0.677109,0.793076,1.430719,1.60174,0
11.178076,11.312485,11.022949,0.289536,0.266426,-0.052487,0
5.465921,5.620193,5.205154,0.415039,-0.678266,-0.01984,0
6.206666,6.394577,5.789948,0.60463,-1.134844,-0.627574,0
0.836467,1.006317,0.615311,0.391006,0.707395,0.772706,0
5.635383,5.950928,5.375671,0.575256,-0.43995,0.655781,0
11.210731,11.678696,10.99968,0.679016,8.313889,2.834445,0
1.657144,1.791382,1.344681,0.446701,2.261988,0.929962,0
0.966027,1.095581,0.727844,0.367737,5.279972,1.148745,0
6.137682,6.349564,5.789948,0.559616,0.910245,1.382048,0
1.737517,1.939392,1.421738,0.517654,-1.109732,0.259471,0
1.672584,1.834106,1.344681,0.489426,-0.47347,0.789819,0
5.994439,6.222153,5.626297,0.595856,0.431417,0.949591,0
1.255654,1.404572,0.951385,0.453186,5.69731,1.416826,0
5.381318,5.522537,5.158234,0.364304,-0.846854,0.490146,0
0.818577,0.964355,0.515747,0.448608,4.644473,1.171369,0
1.120384,1.52092,0.677109,0.843811,-1.184929,0.687297,0
11.197309,11.354446,10.982895,0.371552,-0.284825,0.359966,0
1.069697,1.52092,0.677109,0.843811,0.146075,1.24571,0
0.963791,1.111984,0.727844,0.38414,7.052651,1.350828,0
0.78645,0.933075,0.507355,0.42572,4.576809,1.123308,0
0.779102,0.905228,0.489426,0.415802,5.534182,1.140958,0
5.734153,5.856323,5.375671,0.480652,0.936679,-1.332616,0
1.795524,2.255249,1.475525,0.779724,1.085467,1.449984,0
0.758005,0.896835,0.453186,0.443649,3.726782,1.012694,0
1.870835,2.114105,1.421738,0.692368,-0.916087,0.370742,0
5.736868,5.856323,5.375671,0.480652,1.960923,-1.517512,0
6.084446,6.266403,5.79071,0.475693,-1.033021,-0.015528,0
1.758378,1.98288,1.421738,0.561142,-1.257081,0.09596,0
11.73031,12.217712,10.99968,1.218033,-1.461248,-0.508252,0
1.665395,1.815033,1.320267,0.494766,0.278572,0.577552,0
0.808247,0.962067,0.515747,0.44632,4.081754,0.887101,0
6.150931,6.3694,5.789948,0.579453,-0.708016,0.876757,0
11.185175,11.33728,10.99968,0.337601,0.662358,-0.190133,0
1.723682,1.939392,1.35994,0.579453,-0.78187,0.504019,0
1.00369,1.327515,0.677109,0.650406,3.740468,1.936304,0
5.492843,5.620193,5.24025,0.379944,-1.115895,0.057554,0
1.763819,2.148819,1.41983,0.728989,1.371792,1.430624,0
0.850717,1.018524,0.615311,0.403214,-0.097532,0.331778,0
11.175523,11.327744,10.982895,0.344849,0.103913,0.035717,0
0.804532,0.947952,0.515747,0.432205,3.39175,0.83867,0
5.310319,5.415726,5.078888,0.336838,0.157111,-0.003751,0
5.469486,5.620193,5.205154,0.415039,-0.665641,-0.063242,0
11.923097,12.217712,11.431122,0.786591,0.858671,-0.979266,0
0.97858,1.111603,0.761795,0.349808,4.010889,0.9811,0
5.417272,5.540085,5.205154,0.33493,-1.509119,-0.056717,0
0.78969,0.933075,0.507355,0.42572,4.358585,0.995861,0
1.744261,2.066422,1.41983,0.646591,1.545924,1.313869,0
0.965618,1.108932,0.637436,0.471497,2.717583,0.352354,0
0.790115,0.933075,0.58136,0.351715,3.776487,1.024538,0
0.82383,0.964355,0.636292,0.328064,3.165157,1.156675,0
0.853168,1.018524,0.615311,0.403214,-0.117178,0.257464,0
1.656489,1.791382,1.344681,0.446701,2.15917,0.728819,0
11.177962,11.327744,10.982895,0.344849,0.265171,0.326748,0
0.784685,0.933075,0.507355,0.42572,4.768967,1.173566,0
11.269541,11.500549,11.037445,0.463104,-0.937256,0.21705,0
0.980755,1.112366,0.761795,0.350571,4.966199,1.092177,0
11.279241,11.513901,11.037445,0.476456,-0.746313,0.28476,0
1.345933,1.570511,1.081467,0.489044,-0.576858,0.484492,0
1.260533,1.419449,0.930023,0.489426,5.044471,1.347583,0
5.310698,5.407333,5.078888,0.328445,0.01927,0.008892,0
1.2572,1.411057,0.930023,0.481033,6.026612,1.420896,0
0.872726,1.026154,0.615311,0.410843,1.299965,0.075789,0
1.65395,1.768875,1.320267,0.448608,3.633211,0.843258,0
0.980182,1.141739,0.677109,0.46463,0.129906,1.001249,0
1.051915,1.498795,0.677109,0.821686,0.679139,1.410132,0
2.026166,2.737808,1.535034,1.202774,-1.292257,0.498078,0
11.413454,11.717606,11.168289,0.549316,-1.167355,0.431903,0
5.623165,5.950928,5.375671,0.575256,-0.040869,0.871429,0
1.344993,1.570511,1.058197,0.512314,-0.533765,0.531057,0
11.246513,11.442947,10.987854,0.455093,-1.234202,0.213627,0
6.020555,6.280899,5.670929,0.60997,0.081672,1.039075,0
0.79856,0.933075,0.515747,0.417328,3.534857,0.862978,0
1.654866,1.791382,1.320267,0.471115,3.19022,0.752359,0
11.410893,11.717606,11.168289,0.549316,-1.15028,0.444847,0
6.240852,6.394577,5.949783,0.444794,2.470883,-0.029704,0
0.837642,1.006317,0.615311,0.391006,0.544383,0.73232,0
1.670426,1.834106,1.344681,0.489426,-0.143004,0.921969,0
1.26125,1.52092,0.870895,0.650024,-1.326259,0.241487,0
0.870349,1.026154,0.615311,0.410843,1.02084,0.014799,0
0.758896,0.896835,0.453186,0.443649,3.621832,0.988486,0
1.906292,2.509689,1.475525,1.034164,-0.36518,1.025977,0
0.964131,1.095581,0.727844,0.367737,6.730716,1.332538,0
1.361167,1.570511,1.003265,0.567245,0.883731,0.320978,0
11.188775,11.361694,10.99968,0.362015,1.33787,0.247311,0
1.277709,1.433563,0.912094,0.521469,4.217606,0.896572,0
1.702931,1.911163,1.321793,0.589371,-0.566771,0.64944,0
0.966044,1.108932,0.637436,0.471497,2.677988,0.332455,0
11.482981,12.217712,10.99968,1.218033,-1.227704,0.703932,0
6.064824,6.266403,5.833054,0.43335,-0.815157,0.30621,0
5.53729,5.807877,5.336761,0.471115,15.115487,3.600898,0
0.963838,1.111984,0.727844,0.38414,7.080518,1.351111,0
1.259524,1.419449,0.930023,0.489426,5.513638,1.383666,0
5.593947,5.950928,5.375671,0.575256,0.710792,1.352034,0
6.055128,6.266403,5.833054,0.43335,-0.311562,0.586089,0
0.963849,1.095581,0.727844,0.367737,7.01731,1.328668,0
6.22273,6.394577,5.949783,0.444794,0.746638,-1.26068,0
11.178707,11.327744,10.982895,0.344849,0.16558,0.263046,0
1.940633,2.560806,1.475525,1.085281,-0.761005,0.852332,0
0.868633,1.026154,0.615311,0.410843,0.794221,0.003312,0
1.311217,1.502991,1.056671,0.44632,1.67296,0.700281,0
0.800289,0.933075,0.515747,0.417328,3.566402,0.844396,0
5.38459,5.525589,5.158234,0.367355,-0.955899,0.441536,0
5.350821,5.464554,5.158234,0.30632,-1.00642,0.343238,0
5.342505,5.460739,5.078888,0.381851,-0.907824,0.491459,0
11.224955,11.418152,10.982895,0.435257,-0.540974,0.577118,0
0.880506,1.031494,0.615311,0.416183,2.070011,0.550615,0
2.295126,2.737808,1.695633,1.042175,-0.855443,-0.795371,0
11.179293,11.312485,10.99968,0.312805,0.2598,-0.159943,0
11.787553,12.42218,11.375427,1.046753,-0.975913,0.518721,0
1.749419,1.98288,1.421738,0.561142,-1.221526,0.152863,0
1.25675,1.402664,0.951385,0.451279,5.428092,1.377742,0
0.883033,1.031494,0.615311,0.416183,2.215626,0.585153,0
0.860722,1.018524,0.615311,0.403214,0.111444,0.092389,0
5.407441,5.540085,5.205154,0.33493,-1.435835,0.062858,0
0.783522,0.915527,0.489426,0.426102,5.838465,1.154799,0
2.408558,2.737808,1.695633,1.042175,0.918442,-1.374712,0
0.771229,0.905228,0.489426,0.415802,3.755486,0.877876,0
5.694845,5.950928,5.375671,0.575256,-1.105955,-0.155069,0
1.655741,1.791382,1.320267,0.471115,3.576701,0.645361,0
5.318651,5.433655,5.078888,0.354767,-0.183562,0.14586,0
1.308461,1.469803,1.056671,0.413132,1.16835,0.64723,0
2.380483,2.737808,1.695633,1.042175,0.434793,-1.247108,0
0.761572,0.896835,0.489426,0.40741,3.22659,0.952687,0
1.298174,1.469803,0.912094,0.557709,2.07333,1.004645,0
5.344483,5.460739,5.078888,0.381851,-1.028244,0.412371,0
5.435411,5.620193,5.205154,0.415039,-0.793517,0.077845,0
